source_id,ra,dec,parallax,pmra,pmdec,radial_velocity
4211461178886787328,291.0174856876875,-5.5008602280074586,17.81059688160672,-5.596752867802877,3.1724160441478158,15.213616
4274514322447787008,274.5937118908621,-0.8653763206929987,13.788723835135647,1.325189447910107,-92.20601490850548,-50.077106
4066590798160123776,272.3238553237349,-22.91048389012115,30.70801354762584,40.41345278700018,-459.82500183218326,60.676487
4066436552945895040,273.64214555091127,-23.18565009353459,19.13647908036475,88.86330621462707,-139.13245224878227,-10.643602
4121039129382062592,261.8449485865887,-20.517151393405754,13.923944715963877,-22.197233860426188,-23.703239851737884,43.464027
4117232860703242240,264.6867311823981,-21.91271681330202,10.199705344120506,-33.566077153614714,-6.668341200573963,3.4131522
4161142888248279296,274.5337233607791,-5.890822452167169,13.711450739860794,68.74474514613827,-20.36421765038674,-56.878613
4173180272828203264,274.0650962060919,-5.52352463264209,13.319301665543591,121.74227606584142,-34.06728516997364,-8.094309
4101236233413065600,286.1529345356764,-14.952190282150832,14.794137318796796,67.59676751732955,18.06486913965704,4.6548543
4253892913176211200,284.2655675214513,-5.846498342955987,15.392498061171482,61.56654325839126,-41.23215677589658,-92.45997
4286775766899403136,280.34075329279244,7.903172136157477,11.509959767968715,38.57058844216862,-110.2299435467603,-42.434658
4197805003960381696,286.848799070411,-12.84415337006246,24.60362000661261,43.092581929239245,-4.848436518221776,-54.27864
4470937195670436352,273.96441968954025,5.721537003261502,15.168321056288699,-21.89412216044992,-85.78399172585071,-84.05549
4470516357594636032,274.0719074723284,4.571493594631088,10.950663842451426,-17.828293278004935,25.906323092061687,-46.17267
4252148812904575360,283.9920182589249,-7.178362535802981,10.935536829870284,-13.71771040887761,15.600803418210303,3.169883
4269819678370179072,274.8325901861239,-3.3182506078177227,12.247350484474081,34.39127689604615,16.309502409203468,-105.512375
4159355700815210752,276.33367846260796,-7.795177670162746,12.792738868785088,87.5818600827334,26.527348678050565,-43.136543
4159941671793433728,276.1194263732809,-7.468746616525949,13.665754234437559,-18.698084108213514,11.279222013432362,-50.411915
4307997853153469440,288.7036657500812,8.09660202553726,16.365231709703036,71.62113062794953,30.394490149169005,-42.737915
4308959337377734400,288.28837680698075,9.556499225178335,13.8416586385953,57.64106775430106,73.63846192972352,-49.352383
4294093459140708736,290.15176783366434,6.64368085114278,10.376565628656472,-15.296923375324326,-80.84061067166274,15.147365
4313164767562570112,287.4499273192399,12.221616115840764,11.830595930904503,-7.810347292049146,105.92395783356258,-38.498554
4083521284320114944,290.875138562749,-19.131554189792283,18.209573180121687,-103.38604007764329,108.74894782308543,21.381544
4083573408041211392,290.6482192274865,-19.024786958396675,10.345882274933098,-22.02312547133961,-41.142772296493355,57.602417
4292998109365839488,290.97269164666005,5.36857134192244,10.746448828994051,-135.82001238903908,-54.85955111543035,9.028266
4074191309687737088,285.61519373408595,-24.847612327833133,12.488177119095623,-24.2830262251565,-177.05341833509507,4.861423
4081034738774175872,289.2964364777167,-21.75757423621897,13.92690421401615,154.8880495169493,-131.72438729095364,15.474242
4074224535550871552,286.27491000581887,-24.920313113137723,12.969747877256161,56.11941037304902,-67.75230290819577,7.3760195
4074303867880217984,285.5452172730141,-24.578176829006562,22.615449922962576,-95.86350074771819,-73.0506389694747,-1.3659475
4074590157530503936,285.2375581563306,-23.85376846991315,16.04437305426432,53.53146604796526,-183.8178208213356,-23.271246
4080503709018054400,287.1851811627214,-23.19034467846546,12.491068369016883,-3.829757629040543,-13.589184394349815,2.0987875
4080520231745750784,287.85039544069303,-22.977050637812624,14.274037014570245,40.49059313967675,-31.26231800259748,-26.270582
4073706906098361856,284.9645670307647,-25.841976609695976,21.02114512940162,145.13779520309026,-5.599809233882476,21.787071
4065315399062311296,274.931654447449,-24.375541502330407,26.922869287549144,10.67470374181634,-70.99994323816456,13.718291
4325080205065540992,245.6577764927895,-16.46918559802059,10.009121652814406,-91.91044564868508,57.64754511239443,32.368927
4131542935692897536,250.48958626291122,-18.937222105278607,10.27265563388529,-73.29049961092552,80.30083354065087,-35.782696
4130605425932372992,252.1338477679108,-19.28930603699675,26.127921949625566,-101.11200421526033,-346.07710089203385,-75.49686
4534128637177391360,282.397203352683,24.365744837309474,12.250415067363386,7.655986821079283,14.359612000967081,-41.134384
4533110386324865024,284.2474271562379,23.450386513871937,11.200871196974537,22.566344808419448,-27.440557828099013,0.18611096
4126725592995353472,250.8706807597705,-22.37180864731061,15.289664630029097,-54.78911843719794,5.855175849973833,11.552296
4078432504018987904,281.26927595015206,-23.252594574827498,15.913628119666923,18.476247444214643,-120.73588922193194,-91.30536
4520855779490967424,284.5927148496954,22.07419652671991,17.787276204372716,-147.01741514532648,-111.94809304532329,-35.88853
4538611998913255040,279.92407364516293,26.79667882544509,10.94504215507126,38.137134424937585,68.24615489509745,-60.358505
4537826638372135552,281.19149260969135,26.35856267566255,15.080532017049098,7.239721939605076,-100.85104770214939,-8.90313
4537485995928360192,281.28948128201006,25.479506787449242,14.810301729068483,-21.17189876529588,18.08618205731926,-13.806771
4537293959349344128,278.53618257401644,26.615183737746086,11.329672133427087,39.96670415194535,59.59592102041155,9.063898
4537040418838597504,278.98232784894685,26.001936657100213,13.150742941133318,46.02005986828362,-90.5493226802611,-11.867757
4330436755139986816,247.89277305914774,-13.249983024979652,11.013380989385412,-105.74110652644946,-93.73047429131375,-6.0916276
4330559694280075136,247.01057158936314,-13.102879429193607,10.05647273006403,-25.24807240828487,7.519600418210338,-29.907198
