Source ID,Name,Random_number, RA (deg),DEC (deg),parallax (mas),pmra(masyr),pmdec (mas(yr),phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,M_g,U (km/s),V (km/s),W (km/s),Ilabel (0=thin.1=thick.2=halo)
Gaia DR2 6303262495729875968,J141702.26-132908.5,595736142,214.2593775,-12.51426065,10.02637516,-81.71178992,-30.43046103,18.573544,18.68376,18.17099,0.5127697,0.11021614,0.40255356,13.5792633,-15.57462952,-24.34971521,10.05778614,0
Gaia DR2 16599361404800256,J033048.14+122321.5,1077080509,52.70055585,12.38925058,15.34201473,109.896524,-157.4946035,18.908386,19.367306,18.175928,1.1913776,0.45891953,0.7324581,14.83779821,4.90488061,-47.9738661,-2.946752679,0
Gaia DR2 3225658157424240128,J045551.05-021512.6,1081395032,73.96270709,-1.746518849,10.12562302,-34.29640335,-94.19682601,17.52555,17.567078,17.301226,0.26585197,0.041526794,0.22432518,12.55265961,31.50383729,-12.33772378,-25.53280012,0
Gaia DR2 5353862453172291584,J104205.35-555244.0,1642660913,160.5223235,-54.12111535,11.44125666,-86.76618161,27.64313414,17.023142,16.998405,16.967993,0.030412674,-0.024736404,0.05514908,12.3155105,-29.73199092,0.760996131,-0.57508318,0
Gaia DR2 4808378482451035520,J054541.47-391808.3,404288710,86.42276178,-38.69775245,15.26966702,25.73376797,-118.9488245,18.002188,18.185986,17.622892,0.5630932,0.18379784,0.37929535,13.92133556,40.15254368,-5.551898597,5.992063793,0
Gaia DR2 4606502168995314560,J180416.13+360331.3,1351792561,271.0672375,36.05864967,10.41161917,27.98462785,116.3029907,18.406397,18.579159,17.89467,0.6844883,0.17276192,0.5117264,13.49398824,-42.80719962,34.61726517,9.250366483,0
Gaia DR2 2746936704565640064,J235606.84+080322.3,1136663162,359.0284827,8.056187876,13.07261359,122.0415301,-20.32066921,16.135372,16.117432,16.16085,-0.043418884,-0.017940521,-0.025478363,11.71718428,-29.20196505,-13.64508219,-7.135361439,0
Gaia DR2 6747102629392377856,J200058.08-344212.6,1116078008,300.2419552,-33.296477,12.48646292,45.4487349,-93.24275282,18.24415,18.404127,17.876207,0.52791977,0.15997696,0.3679428,13.72634732,-2.219360369,-20.30717019,-16.48032504,0
Gaia DR2 6467919073570555392,J204313.27-583148.7,1280200645,310.8053368,-57.46978639,11.4965627,-1.269286226,84.44312212,18.877588,19.029991,18.44022,0.5897713,0.15240288,0.4373684,14.18042833,15.61716982,43.90687985,3.20517779,0
Gaia DR2 2143032240815240704,J191056.14+574553.6,662518600,287.7338536,57.76494335,10.09980635,-40.37800027,-89.94791851,17.27376,17.320225,17.150211,0.17001343,0.04646492,0.12354851,12.29532508,52.04126905,7.932290686,10.3372153,0
Gaia DR2 6156909938931496448,J123458.22-374749.9,440558813,188.7426105,-36.2028066,10.72706676,-71.00232717,-11.38636081,19.868994,20.152414,19.349998,0.80241585,0.28342056,0.5189953,15.02139868,-19.41755766,-7.334662412,0.005405675,0
Gaia DR2 5808208420421074560,J170053.69-705125.9,1437662370,255.2237199,-69.14276664,27.83253256,-170.2319559,-84.67798082,16.478252,16.598795,16.220463,0.37833214,0.120542526,0.2577896,13.70101604,-8.007233366,-14.47659748,21.45562743,0
Gaia DR2 60007152756147584,J030335.38+192108.3,146755785,45.89741466,19.3523321,14.90088627,57.19174462,99.86485594,18.28562,18.517582,17.90202,0.61556244,0.2319622,0.38360023,14.15168024,-11.84105286,20.64548743,36.85192396,0
Gaia DR2 363066814030170624,J005436.48+351403.5,917356478,13.65200104,35.23429624,13.2240675,124.625998,-63.9216003,18.599459,18.948042,18.087622,0.8604202,0.34858322,0.511837,14.20628398,-25.71504052,-22.94333156,-13.24897714,0
Gaia DR2 6326608189900099840,J144737.03-100950.8,760013452,221.9043222,-9.835896168,16.98016658,45.09509415,-164.8886863,14.946667,14.838035,15.043896,-0.20586109,-0.10863209,-0.097229004,11.09637645,30.75964633,-14.40277057,-25.74063086,0
Gaia DR2 5392351235636913408,J103321.31-424822.3,900657614,158.3388014,-41.19382335,13.86909363,102.7187841,88.7789213,19.502644,19.917803,18.780788,1.1370144,0.41515923,0.72185516,15.21288398,18.73981392,23.30919485,49.27536597,0
Gaia DR2 1202662482934564736,J155943.01+181713.2,414624241,239.9291709,18.28701616,11.37562298,-117.6073339,-62.20178284,19.407402,19.882404,18.791458,1.0909462,0.4750023,0.6159439,14.68727799,5.157721032,-38.54874807,32.14455036,0
Gaia DR2 4471739010213094272,J181330.48+060410.2,986626523,273.3770053,6.06949263,16.74928155,7.475775611,-150.4689518,17.711178,17.894184,17.275644,0.6185398,0.18300629,0.43553352,13.83115874,30.17667656,-17.91485607,-14.00742458,0
Gaia DR2 6140960766855198464,J130406.46-412323.3,1419404371,196.0268789,-40.61021793,12.03645879,-113.8108949,30.64713336,18.67073,18.94237,18.182663,0.7597065,0.27163887,0.48806763,14.07322426,-33.0750925,-10.60058213,19.86428744,0
Gaia DR2 3015780624838756992,J054340.56-081120.8,1036115984,85.91905362,-7.810939107,11.4239753,-10.6856852,-110.5137925,19.291864,19.572014,18.649628,0.92238617,0.28014946,0.6422367,14.58095067,33.46976268,-18.46640712,-16.37607583,0
